Fertilisation_min;Date;Amount_kg_ha;Material
fert1;01.05.1993;80;ammonium urea solution
fert2;06.04.1994;50;ammonium urea solution
fert2;04.05.1994;40;ammonium urea solution
fert2;27.05.1994;50;ammonium nitrate lime
fert3;20.03.1995;35;ammonium urea solution
fert3;11.05.1995;40;ammonium urea solution
fert3;17.05.1995;30;ammonium urea solution
fert3;30.05.1995;40;ammonium urea solution
fert4;19.04.1996;40;ammonium urea solution
fert4;07.05.1996;30;ammonium urea solution
fert4;05.06.1996;30;ammonium urea solution
fert5;09.09.1996;60;ammonium nitrate lime
fert6;10.04.1997;70;ammonium urea solution
fert6;02.06.1997;60;ammonium nitrate lime
fert7;16.03.1998;50;ammonium urea solution
fert8;01.05.1993;80;ammonium urea solution
fert9;06.04.1994;40;ammonium urea solution
fert9;04.05.1994;50;ammonium urea solution
fert10;20.03.1995;35;ammonium urea solution
fert10;11.05.1995;60;ammonium urea solution
fert11;19.04.1996;40;ammonium nitrate lime
fert11;17.05.1996;45;ammonium urea solution
fert12;09.09.1996;40;ammonium nitrate lime
fert13;10.04.1997;70;ammonium urea solution
fert13;02.06.1997;40;ammonium nitrate lime
fert14;16.03.1998;35;ammonium urea solution
