Fertilisation_min;Date;Amount_kg_ha;Material
fert1;02.09.1992;33000;Farmyard manure
fert1;14.10.1993;11000;Farmyard manure
fert2;27.04.1994;8110;Liquid manure
fert2;09.05.1994;8110;Liquid manure
fert3;09.03.1995;10000;Liquid manure
fert4;29.04.1994;17297;Liquid manure
fert4;04.09.1996;33000;Farmyard manure
fert5;08.10.1997;11000;Farmyard manure
fert5;05.05.1998;11351;Liquid manure
fert6;02.09.1992;33000;Farmyard manure
fert7;14.10.1993;11000;Farmyard manure
fert8;04.09.1996;33000;Farmyard manure
fert9;08.10.1997;11000;Farmyard manure
